Text,Words,Period,Year,sub XVS,sub SXV full all,sub XSV full all,sub SXV approx,sub XSV approx,sub XVS/100k Words,sub XVS/XVS+SXV+XSV,mat XYVS,mat XYVS/100k words,mat XYSV full,mat XSYV full,mat SXYV full,mat XYVS/(XYVS+XYSV+XSYV+SXYV),mat XYVS+sub XVS/100k,Mat XVS pronoun,Mat XVS pron/100k,PPVS fullNP,PPSV fullNP,PPVS pronoun,PPSV pronoun
cocura,68556,o2,890,14,55,24,39,17,20.42126145,0.2,13,18.96259992,15,11,0,0.333333333,39.38386137,1,1.458661532,63,22,0,45
coorosiu,51020,o2,925,6,180,21,126,15,11.76009408,0.040816327,9,17.64014112,2,5,4,0.45,29.4002352,3,5.88004704,117,127,0,48
cochronA,14583,o23,935,1,5,4,4,3,6.857299595,0.125,1,6.857299595,1,0,0,0.5,13.71459919,0,0,13,5,0,1
coboeth,48443,o2,950,8,38,13,27,9,16.51425387,0.181818182,2,4.128563466,7,2,2,0.153846154,20.64281733,0,0,8,4,0,22
colaece,34727,o2,950,4,46,14,32,10,11.51841507,0.086956522,13,37.43484896,3,3,0,0.684210526,48.95326403,1,2.879603767,3,5,0,2
coverhom,45674,o3,975,7,28,16,20,11,15.32600604,0.184210526,8,17.51543548,4,5,2,0.421052632,32.84144152,5,10.94714717,12,19,0,46
coaelhom,62669,o3,990,5,54,3,38,2,7.978426335,0.111111111,6,9.574111602,5,1,1,0.461538462,17.55253794,1,1.595685267,49,4,0,56
coaelive,100193,o3,1000,7,106,11,74,8,6.986516024,0.078651685,16,15.96917948,9,3,4,0.5,22.95569551,2,1.996147435,66,5,0,46
coblick,42506,o23,1000,6,55,14,39,10,14.11565426,0.109090909,3,7.05782713,6,3,5,0.176470588,21.17348139,3,7.05782713,8,9,0,13
cocathom1,106173,o3,1000,12,123,12,86,8,11.3023085,0.113207547,32,30.13948932,8,10,11,0.524590164,41.44179782,5,4.709295207,130,7,0,69
cocathom2,98583,o3,1000,16,83,6,58,4,16.2299788,0.205128205,27,27.38808922,11,10,10,0.465517241,43.61806802,3,3.043121025,139,11,1,66
comart3,25781,o23,1000,1,18,1,13,1,3.878825492,0.066666667,1,3.878825492,4,2,1,0.125,7.757650983,1,3.878825492,206,11,0,11
cowulf,28768,o34,1010,1,20,4,14,3,3.476084538,0.055555556,2,6.952169077,0,11,1,0.142857143,10.42825362,0,0,4,7,0,5
cobenrul,20104,o3,1025,0,27,5,19,4,0,0,3,14.9224035,2,10,4,0.157894737,14.9224035,4,19.896538,15,6,4,15
cogregdH,25593,o23,1025,13,41,6,29,4,50.7951393,0.282608696,2,7.814636815,9,6,0,0.117647059,58.60977611,0,0,6,3,0,14
coherbar,22213,,1025,3,41,9,29,6,13.50560483,0.078947368,0,0,1,9,3,0,13.50560483,0,0,0,1,0,13
cowsgosp,71104,o3,1025,7,120,7,84,5,9.844734473,0.072916667,12,16.87668767,13,4,3,0.375,26.72142214,9,12.65751575,21,6,0,26
cobyrhtf,10243,o3,1050,3,6,,4,0,29.28829444,0.428571429,2,19.52552963,0,0,0,1,48.81382407,0,0,9,3,1,16
cochronC,22463,,1050,1,19,3,13,2,4.451765125,0.0625,4,17.8070605,0,0,0,1,22.25882562,0,0,11,5,0,1
cootest,59524,o3,1050,0,83,7,58,5,0,0,4,6.719978496,6,0,0,0.4,6.719978496,3,5.039983872,34,16,0,58
cochdrul,18386,,1065,3,35,11,25,8,16.31676275,0.083333333,5,27.19460459,5,4,1,0.333333333,43.51136734,2,10.87784184,3,5,0,5
cochronD,26691,,1065,3,30,4,21,3,11.23974373,0.111111111,3,11.23974373,0,0,0,1,22.47948747,0,0,22,11,0,4
cobede,80767,o2,1075,6,102,18,71,13,7.428776604,0.066666667,12,14.85755321,12,13,6,0.279069767,22.28632981,4,4.952517736,23,11,0,16
cogregdC,91553,o24,1075,31,129,43,90,30,33.86016843,0.205298013,12,13.10716197,22,13,1,0.25,46.9673304,2,2.184526995,9,20,0,41
colsigewZ,10420,o34,1075,1,13,1,9,1,9.596928983,0.090909091,0,0,0,0,1,0,9.596928983,1,9.596928983,6,1,0,3
cochronE,40641,o34,1135,4,30,4,21,3,9.842277503,0.142857143,20,49.21138752,1,2,0,0.869565217,59.05366502,4,9.842277503,39,16,0,6
cosolilo,15856,,1150,0,15,2,11,1,0,0,0,0,0,1,0,0,0,3,18.92028254,2,2,0,16
cmtrinit,41844,mx1,1175,1,10,2,7,1,2.389828888,0.111111111,2,4.779657777,0,1,0,0.666666667,7.169486665,6,14.33897333,35,7,0,35
cmorm,50579,m1,1187,3,,1,8,1,5.931315368,0.25,1,1.977105123,0,0,3,0.25,7.908420491,30,59.31315368,7,1,7,13
cmlambx1,20752,mx1,1200,0,2,2,1,1,0,0,7,33.73168851,1,1,0,0.777777778,33.73168851,3,14.45643793,12,8,2,15
cmvices1,27677,m1,1200,5,4,2,3,1,18.06554179,0.555555556,2,7.226216714,0,0,0,1,25.2917585,8,28.90486686,58,5,0,52
cmancriw-1,48566,m1,1227,2,12,3,8,2,4.118107318,0.166666667,7,14.41337561,3,2,4,0.4375,18.53148293,8,16.47242927,32,13,1,41
cmancriw-2,15224,m1,1227,0,5,1,4,1,0,0,1,6.568575933,2,0,0,0.333333333,6.568575933,6,39.4114556,18,2,1,12
laud108ainfancy,12489,,1300,3,19,2,13,1,24.0211386,0.176470588,4,32.0281848,5,1,12,0.181818182,56.0493234,11,88.07750821,9,11,2,46
laud108alife,10547,,1300,0,24,3,17,2,0,0,1,9.48136911,1,1,0,0.333333333,9.48136911,1,9.48136911,2,8,0,27
corp145selt,30237,,1312,0,53,2,37,1,0,0,0,0,11,7,19,0,0,12,39.68647683,8,17,2,133
genexodt,12467,,1312,2,24,2,17,1,16.04235181,0.1,10,80.21175904,2,3,3,0.555555556,96.25411085,30,240.6352771,14,11,15,27
edincmat,15107,,1325,5,14,1,10,1,33.09723969,0.3125,17,112.5306149,1,2,2,0.772727273,145.6278546,35,231.6806778,8,10,15,41
edincmbt,22164,,1325,14,,,29,0,63.16549359,0.325581395,11,49.63003068,1,1,1,0.785714286,112.7955243,79,356.4338567,25,5,36,21
edincmct,14087,,1325,6,14,8,10,6,42.59246113,0.272727273,11,78.08617875,3,2,2,0.611111111,120.6786399,61,433.0233549,6,13,24,50
cmayenbi,45944,m2,1340,2,,,5,0,4.353125544,0.285714286,1,2.176562772,2,1,2,0.166666667,6.529688316,10,21.76562772,40,7,1,30
cmearlps,44521,m2,1350,0,1,,1,0,0,0,0,0,1,0,1,0,0,10,22.46131039,9,18,6,28
cmboeth,10415,m3,1380,3,,,1,4,28.80460874,0.375,3,28.80460874,0,0,0,1,57.60921747,5,48.00768123,1,1,0,2
cmotest,10015,m3,1382,0,,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,47,0,18
cmpolych,46444,m3,1387,0,4,9,3,6,0,0,2,4.306261304,20,7,1,0.066666667,4.306261304,1,2.153130652,29,185,1,93
cmctmeli,17005,m3,1390,8,,,3,6,47.04498677,0.470588235,0,0,1,0,0,0,47.04498677,7,41.16436342,5,4,1,4
cmctpars,30416,m3,1390,4,,,3,5,13.15097317,0.333333333,2,6.575486586,2,0,0,0.5,19.72645976,22,72.33035245,15,5,11,16
cmedvern,12843,m3,1390,4,,,0,0,31.14537102,1,1,7.786342755,0,0,0,1,38.93171377,13,101.2224558,18,4,9,38
cmntest,11081,m3,1395,0,1,1,1,1,0,0,0,0,3,0,0,0,0,1,9.024456277,3,62,0,24
cmpurvey,39704,m3,1397,1,,4,5,3,2.518637921,0.111111111,0,0,6,2,0,0,2.518637921,1,2.518637921,3,87,0,30
cmaelr3,17013,m23,1400,0,4,4,3,3,0,0,1,5.877858109,3,1,0,0.2,5.877858109,2,11.75571622,3,2,0,7
cmbrut3,49099,m3,1400,0,18,6,13,4,0,0,0,0,3,0,1,0,0,3,6.110104075,18,10,1,11
cmmandev,49690,m3,1400,6,,,2,11,12.07486416,0.315789474,3,6.037432079,0,1,0,0.75,18.11229624,4,8.049909439,67,44,0,10
cmwycser,56402,m3,1400,8,,,17,8,14.18389419,0.242424242,0,0,1,1,0,0,14.18389419,13,23.04882806,20,10,7,9
cmbenrul,18221,m3,1425,5,2,2,1,1,27.44086494,0.714285714,7,38.41721091,0,0,0,1,65.85807585,106,581.7463366,55,1,54,9
cmcloud,15599,m3,1425,3,,,1,3,19.23200205,0.428571429,2,12.8213347,0,0,0,1,32.05333675,11,70.51734086,2,0,5,18
cmedthor,13949,m34,1440,5,,,1,0,35.84486343,0.833333333,4,28.67589074,0,1,0,0.8,64.52075418,39,279.5899348,9,1,29,31
cmrollep,17960,m24,1440,0,1,,1,0,0,0,1,5.567928731,0,0,1,0.5,5.567928731,7,38.97550111,9,8,2,13
cmaelr4,11181,m4,1450,1,,,1,2,8.943743851,0.25,2,17.8874877,0,0,0,1,26.83123155,12,107.3249262,5,4,5,14
cmkempe,60212,m4,1450,3,,,7,2,4.982395536,0.25,2,3.321597024,4,0,0,0.333333333,8.30399256,28,46.50235833,3,18,5,46
cmrolltr,17631,m24,1450,0,,,7,0,0,0,3,17.01548409,2,1,0,0.5,17.01548409,11,62.39010833,4,16,2,21
cmcapchr,52716,m4,1464,1,,6,5,4,1.896957281,0.1,8,15.17565824,9,9,1,0.296296296,17.07261552,56,106.2296077,219,151,15,61
cmmalory,57775,m4,1470,3,,10,7,7,5.192557334,0.176470588,15,25.96278667,30,1,0,0.326086957,31.15534401,43,74.42665513,10,17,4,53
cmgregor,37326,m4,1475,0,1,,1,0,0,0,2,5.35819536,11,2,0,0.133333333,5.35819536,0,0,1,7,0,4
cmmirk,57548,m34,1500,0,,15,8,11,0,0,0,0,9,5,0,0,0,10,17.3767985,2,26,1,28
